               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.03614,             0.16349,            0.060299,             0.10085,             0.89728,             0.18308,             0.11214,            0.046294,             0.14928,            0.060417,           0.0046535,           0.0046535,           0.0046535
                  37,            0.035706,               0.157,            0.059842,            0.098264,             0.89361,             0.17819,             0.10762,            0.038927,             0.14052,            0.059387,           0.0046436,           0.0046436,           0.0046436
                  38,            0.036101,             0.16607,             0.05907,              0.1017,             0.85149,              0.1694,             0.10489,            0.039306,             0.13278,            0.058479,           0.0046337,           0.0046337,           0.0046337
                  39,             0.03428,             0.15302,            0.058087,             0.10692,             0.94774,             0.16692,             0.10955,            0.038008,             0.13282,            0.057863,           0.0046238,           0.0046238,           0.0046238
                  40,            0.033071,             0.15266,            0.057462,             0.10396,             0.93864,             0.18439,             0.12711,            0.035194,             0.12563,            0.057611,           0.0046139,           0.0046139,           0.0046139
                  41,            0.032226,             0.14601,            0.057208,             0.11558,             0.92149,             0.16106,             0.11025,            0.033384,              0.1248,            0.057228,            0.004604,            0.004604,            0.004604
                  42,            0.032505,             0.15467,            0.056592,             0.10732,             0.92077,             0.16148,              0.1177,            0.033963,             0.12767,             0.05901,           0.0045941,           0.0045941,           0.0045941
                  43,            0.033853,             0.15106,            0.056462,             0.10435,             0.97674,             0.16281,             0.10313,            0.037186,             0.13066,            0.056573,           0.0045842,           0.0045842,           0.0045842
                  44,            0.033084,             0.14771,            0.055945,             0.12109,             0.85012,             0.16309,             0.10776,            0.034408,             0.12323,            0.055014,           0.0045743,           0.0045743,           0.0045743
                  45,            0.032785,             0.15562,            0.055246,             0.13712,             0.89385,             0.16728,             0.11954,            0.031885,             0.12083,             0.05468,           0.0045644,           0.0045644,           0.0045644
                  46,            0.033705,             0.15582,            0.054584,             0.13713,             0.92662,             0.18553,             0.12551,            0.034294,              0.1292,            0.055747,           0.0045545,           0.0045545,           0.0045545
                  47,              0.0348,             0.15891,            0.054302,              0.1341,             0.87776,             0.17372,             0.11585,            0.032061,             0.12035,            0.054545,           0.0045446,           0.0045446,           0.0045446
                  48,            0.032311,             0.15273,            0.054028,             0.18771,             0.91403,             0.17815,             0.11832,            0.035304,             0.12552,            0.057569,           0.0045347,           0.0045347,           0.0045347
                  49,            0.032509,             0.14975,            0.053904,             0.12621,             0.96106,             0.21048,             0.13867,             0.03318,             0.13228,            0.059116,           0.0045248,           0.0045248,           0.0045248
                  50,            0.034565,             0.15692,            0.053677,             0.19235,             0.91549,             0.17676,              0.1128,            0.034265,             0.12907,            0.057999,           0.0045149,           0.0045149,           0.0045149
                  51,             0.03366,              0.1604,            0.053628,             0.11901,              0.9013,             0.20871,             0.14025,            0.034189,             0.12377,             0.05731,            0.004505,            0.004505,            0.004505
                  52,             0.03234,             0.15026,            0.053286,             0.10881,             0.91486,             0.17319,              0.1046,             0.03721,             0.12577,            0.058062,           0.0044951,           0.0044951,           0.0044951
                  53,            0.033938,             0.15663,             0.05334,             0.13892,             0.88832,             0.25873,             0.16965,            0.034677,             0.12257,            0.055377,           0.0044852,           0.0044852,           0.0044852
                  54,            0.033345,             0.15868,            0.053156,             0.20114,             0.81777,             0.23412,             0.14757,            0.034343,             0.12241,            0.053478,           0.0044753,           0.0044753,           0.0044753
                  55,            0.031985,             0.16132,            0.052885,             0.22297,             0.72748,             0.27134,             0.19079,            0.032103,             0.12012,            0.054103,           0.0044654,           0.0044654,           0.0044654
                  56,            0.032805,             0.15233,            0.052569,             0.17631,             0.67821,             0.29302,             0.18522,            0.034268,             0.12353,            0.052191,           0.0044555,           0.0044555,           0.0044555
                  57,            0.030695,             0.15046,            0.052394,             0.23609,             0.77702,             0.30593,             0.21157,            0.032023,             0.12239,             0.05389,           0.0044456,           0.0044456,           0.0044456
                  58,             0.03221,             0.14935,            0.052121,             0.18676,             0.80737,              0.3242,             0.21881,            0.033167,             0.12443,            0.052694,           0.0044357,           0.0044357,           0.0044357
                  59,             0.03153,             0.15082,            0.051395,             0.20178,             0.82595,             0.35227,              0.2547,            0.030449,             0.11841,            0.051737,           0.0044258,           0.0044258,           0.0044258
                  60,            0.029754,             0.14621,            0.051285,             0.20763,             0.60892,             0.37925,             0.28028,             0.03031,             0.11669,            0.050065,           0.0044159,           0.0044159,           0.0044159
                  61,            0.030995,             0.15216,            0.050517,             0.18549,             0.77123,             0.39272,             0.28573,            0.031918,             0.12384,            0.050364,            0.004406,            0.004406,            0.004406
                  62,            0.031565,             0.15239,            0.050125,             0.22036,             0.63077,              0.4068,             0.28715,            0.033772,             0.12316,            0.048936,           0.0043961,           0.0043961,           0.0043961
                  63,            0.034993,             0.16428,             0.04958,             0.19323,             0.76964,             0.40615,             0.28437,            0.038552,             0.12975,            0.049559,           0.0043862,           0.0043862,           0.0043862
                  64,            0.032889,             0.15318,            0.048468,             0.19818,             0.67511,             0.42395,             0.27012,            0.034591,             0.12613,            0.048119,           0.0043763,           0.0043763,           0.0043763
                  65,            0.033219,             0.15205,            0.047866,             0.24969,             0.92427,              0.4416,             0.29992,            0.035626,             0.12958,            0.048823,           0.0043664,           0.0043664,           0.0043664
                  66,              0.0318,             0.15616,            0.046721,             0.24082,             0.86579,             0.42983,             0.29899,            0.033182,             0.12113,            0.046651,           0.0043565,           0.0043565,           0.0043565
                  67,             0.03068,             0.15316,            0.045676,               0.256,             0.92175,             0.45148,             0.28989,            0.037853,             0.13324,            0.046864,           0.0043466,           0.0043466,           0.0043466
                  68,             0.03402,             0.15333,            0.045053,               0.278,             0.79468,             0.44136,             0.28207,            0.035035,             0.13044,            0.047415,           0.0043367,           0.0043367,           0.0043367
                  69,            0.033409,             0.15278,            0.044707,             0.26901,             0.85661,             0.49479,             0.33083,            0.037513,             0.13056,            0.045252,           0.0043268,           0.0043268,           0.0043268
                  70,            0.035232,             0.16022,            0.044022,             0.27468,             0.83294,             0.47348,             0.30413,            0.036051,             0.13123,            0.044826,           0.0043169,           0.0043169,           0.0043169
                  71,             0.03287,             0.14999,            0.043354,             0.24359,             0.88006,              0.4636,             0.32233,             0.04015,             0.13015,            0.043963,            0.004307,            0.004307,            0.004307
                  72,            0.033359,             0.15688,            0.042982,             0.28738,             0.86228,             0.48713,             0.28796,             0.03477,             0.13326,            0.044484,           0.0042971,           0.0042971,           0.0042971
                  73,            0.033005,              0.1588,            0.042026,              0.2625,             0.80965,             0.49935,               0.278,            0.044525,             0.14358,            0.046613,           0.0042872,           0.0042872,           0.0042872
                  74,            0.035889,             0.15549,            0.041998,             0.23101,             0.81299,             0.47361,             0.31785,            0.040947,             0.12861,            0.051401,           0.0042773,           0.0042773,           0.0042773
                  75,            0.034349,               0.155,            0.041807,             0.25808,              0.8544,             0.53474,             0.35604,            0.034901,             0.12363,            0.048297,           0.0042674,           0.0042674,           0.0042674
                  76,            0.032185,             0.14709,             0.04114,             0.27781,              0.8827,             0.51509,             0.33281,            0.037268,             0.12772,            0.056745,           0.0042575,           0.0042575,           0.0042575
                  77,            0.031093,             0.14585,            0.040023,             0.30019,             0.84022,             0.53068,             0.32256,            0.037515,             0.13313,            0.045564,           0.0042476,           0.0042476,           0.0042476
                  78,            0.033403,             0.15603,            0.039676,             0.29365,             0.87225,             0.52808,             0.31847,            0.032943,             0.12357,            0.042366,           0.0042377,           0.0042377,           0.0042377
                  79,            0.032892,             0.15594,            0.038607,              0.4165,             0.75002,              0.5723,             0.37203,            0.034342,             0.12441,            0.040138,           0.0042278,           0.0042278,           0.0042278
                  80,            0.030829,             0.15185,            0.037665,             0.32185,              0.8937,             0.56387,             0.37632,            0.033988,             0.12905,            0.039094,           0.0042179,           0.0042179,           0.0042179
                  81,            0.033574,             0.15647,            0.036758,             0.55616,             0.64789,             0.57776,             0.32748,            0.035305,             0.12398,            0.036723,            0.004208,            0.004208,            0.004208
                  82,            0.035283,              0.1593,            0.036154,             0.35634,             0.75231,             0.52473,              0.3338,            0.037162,             0.14047,            0.040195,           0.0041981,           0.0041981,           0.0041981
                  83,            0.032762,             0.15395,            0.036126,             0.34872,             0.78434,             0.56253,             0.36352,            0.033759,             0.12749,            0.039518,           0.0041882,           0.0041882,           0.0041882
                  84,            0.031315,             0.14698,            0.034861,             0.41952,             0.82166,              0.5828,             0.40704,            0.031389,             0.12038,            0.035653,           0.0041783,           0.0041783,           0.0041783
                  85,            0.030765,             0.15452,               0.034,             0.30722,             0.71378,             0.52785,             0.36546,            0.032229,              0.1215,             0.05071,           0.0041684,           0.0041684,           0.0041684
                  86,            0.030065,             0.14751,            0.032997,              0.3412,             0.81164,             0.54729,             0.36093,            0.032969,             0.12238,            0.038208,           0.0041585,           0.0041585,           0.0041585
                  87,            0.030802,             0.15052,            0.032353,             0.38953,             0.89436,             0.64098,             0.42346,            0.033957,              0.1239,            0.037229,           0.0041486,           0.0041486,           0.0041486
                  88,            0.032467,             0.15216,            0.031343,             0.38339,             0.85877,             0.58795,             0.42519,            0.034286,             0.12292,            0.032765,           0.0041387,           0.0041387,           0.0041387
                  89,            0.032263,             0.15807,            0.030682,             0.42494,             0.84594,             0.64431,             0.45128,            0.033274,             0.12342,            0.029845,           0.0041288,           0.0041288,           0.0041288
                  90,            0.030564,             0.14569,            0.029351,             0.50268,             0.86291,             0.66877,             0.48532,            0.030681,             0.11733,            0.033695,           0.0041189,           0.0041189,           0.0041189
                  91,            0.031267,             0.14982,            0.029265,             0.41997,             0.86818,             0.64103,              0.4523,            0.032559,             0.12258,            0.031995,            0.004109,            0.004109,            0.004109
                  92,            0.030191,              0.1482,            0.028581,             0.45256,             0.84445,             0.65074,             0.47243,            0.030845,             0.11673,            0.030306,           0.0040991,           0.0040991,           0.0040991
                  93,            0.030367,             0.14621,            0.027771,             0.37642,              0.8021,             0.61638,             0.39173,            0.035689,             0.13315,            0.033173,           0.0040892,           0.0040892,           0.0040892
                  94,            0.031197,             0.15506,              0.0288,              0.4289,             0.83177,             0.65195,             0.47217,            0.030752,             0.11648,            0.029071,           0.0040793,           0.0040793,           0.0040793
                  95,            0.032608,             0.15535,            0.031277,             0.38361,             0.81951,             0.59343,             0.40213,            0.032395,             0.13256,            0.034946,           0.0040694,           0.0040694,           0.0040694
                  96,            0.032826,             0.15821,            0.031585,             0.34964,             0.82834,             0.59064,             0.38759,            0.033393,             0.12811,            0.036863,           0.0040595,           0.0040595,           0.0040595
                  97,            0.032642,             0.15126,            0.029623,             0.30358,             0.75909,              0.4974,             0.34327,            0.034661,             0.12741,             0.05107,           0.0040496,           0.0040496,           0.0040496
                  98,            0.032269,             0.15317,            0.028447,             0.34712,             0.70443,             0.54641,             0.36531,            0.035437,             0.12355,            0.039212,           0.0040397,           0.0040397,           0.0040397
                  99,            0.030962,             0.15014,            0.027486,             0.38418,             0.86545,             0.66906,             0.39408,            0.035224,             0.12919,            0.029063,           0.0040298,           0.0040298,           0.0040298
                 100,            0.032172,             0.15413,            0.026869,             0.52947,             0.87394,             0.71831,             0.51099,            0.030831,             0.11997,            0.028507,           0.0040199,           0.0040199,           0.0040199
                 101,            0.031424,             0.15287,            0.025848,             0.46389,             0.86731,             0.72341,              0.5274,            0.033598,             0.12242,            0.031601,             0.00401,             0.00401,             0.00401
                 102,            0.030294,             0.14951,            0.025252,             0.51177,             0.84183,             0.69776,             0.49687,             0.03094,             0.11909,            0.028018,           0.0040001,           0.0040001,           0.0040001
                 103,            0.029566,             0.14249,            0.023936,             0.52923,             0.84424,             0.71026,             0.48079,            0.031991,             0.12793,            0.026734,           0.0039902,           0.0039902,           0.0039902
                 104,            0.029465,              0.1491,            0.023922,             0.55912,             0.90772,             0.76689,              0.5257,            0.033179,             0.12638,            0.023656,           0.0039803,           0.0039803,           0.0039803
                 105,            0.030421,             0.14819,            0.023694,             0.55069,             0.80241,             0.70424,             0.47816,            0.031974,              0.1262,            0.027065,           0.0039704,           0.0039704,           0.0039704
                 106,             0.02969,             0.14666,            0.023007,             0.51363,             0.81976,             0.66863,             0.47467,            0.033176,             0.13041,            0.027742,           0.0039605,           0.0039605,           0.0039605
                 107,             0.02915,             0.14215,            0.023181,             0.50415,             0.81993,             0.64588,             0.43901,            0.032684,             0.12786,            0.028852,           0.0039506,           0.0039506,           0.0039506
                 108,            0.029133,             0.14761,            0.022954,              0.3444,             0.75464,             0.49577,             0.34714,            0.030779,             0.11821,            0.056705,           0.0039407,           0.0039407,           0.0039407
                 109,            0.031333,             0.15265,            0.025499,             0.57265,             0.90036,             0.74098,             0.55572,            0.028891,             0.11587,            0.023962,           0.0039308,           0.0039308,           0.0039308
                 110,            0.030444,             0.15065,            0.022759,             0.44791,             0.89062,             0.72051,             0.50355,            0.030886,             0.11761,            0.029732,           0.0039209,           0.0039209,           0.0039209
                 111,            0.030555,             0.14686,            0.022784,             0.42863,             0.77493,             0.57974,             0.30181,            0.038612,             0.13667,            0.034211,            0.003911,            0.003911,            0.003911
                 112,            0.034894,             0.15799,            0.022751,             0.50472,             0.92063,             0.81808,             0.55965,            0.034707,             0.12402,            0.028288,           0.0039011,           0.0039011,           0.0039011
                 113,            0.033675,             0.15055,            0.022174,             0.49191,             0.88331,             0.77175,             0.47983,            0.035923,             0.12616,            0.028676,           0.0038912,           0.0038912,           0.0038912
                 114,            0.031551,             0.15209,            0.021808,             0.65399,             0.92884,             0.84939,             0.62008,             0.03172,              0.1174,            0.021752,           0.0038813,           0.0038813,           0.0038813
                 115,            0.030882,              0.1513,            0.021449,             0.65878,             0.89337,             0.85197,             0.62732,            0.029985,             0.11812,            0.020462,           0.0038714,           0.0038714,           0.0038714
                 116,            0.029759,             0.14184,            0.020699,             0.54824,             0.83421,             0.72664,             0.52545,            0.030508,             0.11905,            0.025941,           0.0038615,           0.0038615,           0.0038615
                 117,            0.030767,             0.15068,             0.02161,             0.67097,             0.91444,             0.83861,              0.5933,            0.034205,               0.127,            0.021187,           0.0038516,           0.0038516,           0.0038516
                 118,            0.031609,             0.15445,            0.021579,             0.55494,             0.79724,             0.73376,             0.54829,            0.032242,             0.11852,            0.027558,           0.0038417,           0.0038417,           0.0038417
                 119,            0.031853,             0.15331,            0.020777,             0.58883,              0.8489,             0.79185,             0.56816,            0.031015,             0.11914,            0.030038,           0.0038318,           0.0038318,           0.0038318
                 120,            0.031097,             0.15862,            0.020081,             0.54184,             0.83929,             0.68624,             0.50784,            0.032953,             0.11891,            0.040425,           0.0038219,           0.0038219,           0.0038219
                 121,            0.031499,             0.15167,            0.019677,             0.65449,             0.85122,             0.81094,             0.44526,            0.035846,             0.12995,            0.022545,            0.003812,            0.003812,            0.003812
                 122,            0.030081,              0.1515,            0.018411,             0.77686,             0.91614,             0.89815,             0.67349,            0.029539,             0.11718,            0.017785,           0.0038021,           0.0038021,           0.0038021
                 123,            0.029947,             0.14498,            0.017461,             0.75242,             0.92414,             0.87585,             0.63237,            0.029831,               0.116,             0.01755,           0.0037922,           0.0037922,           0.0037922
                 124,            0.029553,             0.14085,            0.017397,             0.80372,             0.92062,             0.87794,             0.57165,            0.033319,             0.12312,            0.016721,           0.0037823,           0.0037823,           0.0037823
                 125,             0.02973,             0.14552,            0.017747,             0.74865,             0.93821,             0.90452,             0.66456,            0.030704,             0.11702,            0.017159,           0.0037724,           0.0037724,           0.0037724
                 126,            0.030146,             0.14705,            0.016697,             0.78863,             0.92745,             0.89771,             0.65066,            0.028637,             0.11348,            0.017893,           0.0037625,           0.0037625,           0.0037625
                 127,            0.029575,             0.14865,            0.015799,             0.77372,             0.92913,             0.88934,             0.66027,            0.029166,             0.11459,            0.017744,           0.0037526,           0.0037526,           0.0037526
                 128,            0.029464,              0.1469,            0.015748,             0.83465,             0.93592,             0.92038,             0.68849,             0.02911,             0.11608,            0.015194,           0.0037427,           0.0037427,           0.0037427
                 129,            0.029806,             0.14248,            0.015357,             0.70794,             0.87782,             0.84817,             0.58823,            0.036064,             0.12276,             0.02315,           0.0037328,           0.0037328,           0.0037328
                 130,             0.03118,             0.15484,            0.015447,             0.81824,              0.9453,             0.92926,             0.60792,            0.031324,             0.11971,            0.016028,           0.0037229,           0.0037229,           0.0037229
                 131,             0.03142,             0.15186,            0.015969,              0.7703,             0.85545,             0.86859,             0.64795,            0.029733,             0.11562,            0.020274,            0.003713,            0.003713,            0.003713
                 132,            0.030682,             0.14227,            0.014874,             0.69642,             0.82883,             0.79426,             0.57347,            0.032766,             0.12138,            0.024259,           0.0037031,           0.0037031,           0.0037031
                 133,            0.030991,             0.15299,            0.015126,              0.6984,             0.82146,             0.83329,             0.60407,            0.032311,             0.11972,            0.023025,           0.0036932,           0.0036932,           0.0036932
                 134,            0.029492,             0.14454,            0.014537,             0.56162,             0.70778,             0.76408,             0.52446,            0.030596,             0.11794,            0.033037,           0.0036833,           0.0036833,           0.0036833
                 135,            0.028682,             0.14592,            0.014889,              0.7773,             0.92174,             0.86497,             0.65615,            0.027801,              0.1131,              0.0197,           0.0036734,           0.0036734,           0.0036734
                 136,            0.027477,             0.13718,            0.013811,             0.72114,             0.87397,             0.83652,             0.64621,              0.0275,             0.11246,            0.021134,           0.0036635,           0.0036635,           0.0036635
                 137,            0.027255,             0.13918,            0.012956,             0.64213,             0.79396,             0.79809,             0.60217,             0.02724,             0.11088,            0.026726,           0.0036536,           0.0036536,           0.0036536
                 138,            0.029656,             0.14596,            0.013643,             0.64212,             0.78049,             0.80738,             0.59698,            0.030067,             0.11642,            0.027191,           0.0036437,           0.0036437,           0.0036437
                 139,            0.028117,             0.14645,            0.013277,             0.71118,             0.86229,              0.8524,             0.55306,            0.034238,             0.12754,            0.024239,           0.0036338,           0.0036338,           0.0036338
                 140,            0.029851,             0.15146,            0.013234,             0.82235,             0.94934,             0.94475,             0.66118,            0.034098,              0.1285,            0.017973,           0.0036239,           0.0036239,           0.0036239
                 141,            0.029484,             0.15413,            0.013325,             0.68475,             0.81111,             0.81896,             0.58445,             0.03206,             0.12719,            0.026227,            0.003614,            0.003614,            0.003614
                 142,             0.03076,             0.15244,            0.012791,              0.7922,             0.90757,             0.92775,             0.68591,            0.031755,             0.12495,            0.021962,           0.0036041,           0.0036041,           0.0036041
                 143,            0.032535,             0.15743,            0.012932,                0.63,             0.80789,             0.75612,             0.47729,            0.035836,             0.13381,            0.035756,           0.0035942,           0.0035942,           0.0035942
                 144,            0.030152,             0.14678,            0.013022,             0.87786,             0.97115,             0.96632,             0.69776,            0.032375,             0.12176,             0.01564,           0.0035843,           0.0035843,           0.0035843
                 145,            0.029657,             0.14571,            0.013132,             0.74866,             0.84973,             0.85031,              0.5858,            0.031728,             0.12038,              0.0213,           0.0035744,           0.0035744,           0.0035744
                 146,            0.028632,             0.14148,            0.013721,             0.75128,             0.87475,             0.89901,             0.65335,            0.030272,             0.11687,            0.024685,           0.0035645,           0.0035645,           0.0035645
                 147,             0.02731,             0.13954,            0.012505,             0.59842,             0.79675,             0.73771,             0.55497,            0.027489,             0.11124,            0.033477,           0.0035546,           0.0035546,           0.0035546
                 148,            0.029298,             0.14502,             0.01307,             0.75583,             0.83784,             0.87801,             0.64915,            0.029019,             0.11515,            0.022047,           0.0035447,           0.0035447,           0.0035447
                 149,            0.028413,             0.14026,            0.013031,             0.90437,              0.9243,             0.96834,             0.72998,            0.028327,             0.11503,            0.013991,           0.0035348,           0.0035348,           0.0035348
                 150,            0.029232,             0.14939,            0.012588,             0.91296,             0.90284,             0.95688,             0.63788,            0.031777,             0.12088,            0.015338,           0.0035249,           0.0035249,           0.0035249
                 151,            0.028657,             0.14677,            0.011986,             0.96715,             0.97099,             0.98678,             0.75233,            0.028643,             0.11246,            0.010239,            0.003515,            0.003515,            0.003515
                 152,            0.029344,             0.14447,            0.012535,             0.88537,             0.91814,             0.96352,             0.62356,            0.037042,             0.12943,            0.015277,           0.0035051,           0.0035051,           0.0035051
